latitude,longitude,blk_no,road_name,postal_code,address,nearest_mrt_station,nearest_mrt_distance_km,nearest_mall,nearest_mall_distance_km
1.31228054125456,103.759981529056,505,WEST COAST DRIVE,120505,505 WEST COAST DR,Clementi,0.6644024367136145,321 Clementi,0.5572616868291069
1.31738023737382,103.764787022864,319,CLEMENTI AVENUE 4,120319,319 CLEMENTI AVE 4,Clementi,0.27986946443483834,The Clementi Mall,0.27916045842924103
1.30477461299303,103.765253754328,601,CLEMENTI WEST STREET 1,120601,601 CLEMENTI WEST ST 1,Clementi,1.1287132088117369,West Coast Plaza,0.16245081423936059
1.30571872306759,103.762167768843,708,CLEMENTI WEST STREET 2,120708,708 CLEMENTI WEST ST 2,Clementi,1.082764932795946,West Coast Plaza,0.4976702117996915
1.32150115847495,103.762228657544,206,CLEMENTI AVENUE 6,120206,206 CLEMENTI AVE 6,Clementi,0.8089567273412438,The Clementi Mall,0.7738907460108969
1.30730729862781,103.889390130934,58,DAKOTA CRESCENT,390058,58 DAKOTA CRES,Dakota,0.14414219730123692,City Plaza,0.9417684294419602
1.32041804730607,103.885098713079,112,ALJUNIED CRESCENT,380112,112 ALJUNIED CRES,Aljunied,0.5097150015035915,Paya Lebar Square,0.8506360054265224
1.32845731032674,103.903274600324,318,UBI AVENUE 1,400318,318 UBI AVE 1,Ubi,0.5148144968252288,Singpost Centre,1.4051333332836609
1.31022063491151,103.88323543756,56,CASSIA CRESCENT,391056,56 CASSIA CRES,Mountbatten,0.4575758544939908,Leisure Park Kallang,1.1878687913655852
1.32314313124757,103.90344909234,14,EUNOS CRESCENT,400014,14 EUNOS CRES,Eunos,0.3759488522825072,Singpost Centre,1.0568092890766108
1.32430637458121,103.902160591904,23,EUNOS CRESCENT,400023,23 EUNOS CRES,Eunos,0.5065806917945689,Singpost Centre,1.0004759154405043
1.33048096275076,103.886579205764,28,BALAM ROAD,370028,28 BALAM RD,Mattar,0.5413553956832818,Paya Lebar Square,1.458720416065923
1.35916575005657,103.891524293017,247,HOUGANG AVENUE 3,530247,247 HOUGANG AVE 3,Kovan,0.7165602070586744,Hougang 1,0.3379648572647181
1.36849761537181,103.898423005409,333,HOUGANG AVENUE 5,530333,333 HOUGANG AVE 5,Hougang,0.7302640374230541,Hougang Mall,0.6795971863319448
1.37240648339621,103.887612440713,507,HOUGANG AVENUE 8,530507,507 HOUGANG AVE 8,Hougang,0.5581829376505907,Hougang Mall,0.6865624217445907
1.35160490053332,103.889848995071,169,HOUGANG AVENUE 1,530169,169 HOUGANG AVE 1,Kovan,1.089156263459477,Hougang 1,0.560198407779525
1.37952942233332,103.889890516648,555,HOUGANG STREET 51,530555,555 HOUGANG ST 51,Buangkok,0.5438654579323087,Hougang Green Shopping Mall,0.22836807132367132
1.36886216557438,103.897954352984,334,HOUGANG AVENUE 5,530334,334 HOUGANG AVE 5,Hougang,0.6657350646795644,Hougang Mall,0.6136757456011259
1.37785956993058,103.892020656191,543,HOUGANG AVENUE 8,530543,543 HOUGANG AVE 8,Buangkok,0.589330399478539,Hougang Green Shopping Mall,0.49146540213780654
1.37814103956038,103.891257788208,549,HOUGANG STREET 51,530549,549 HOUGANG ST 51,Buangkok,0.5871722671981611,Hougang Green Shopping Mall,0.40108826825284083
1.37477276713529,103.894050578912,422,HOUGANG AVENUE 6,530422,422 HOUGANG AVE 6,Hougang,0.41062171558458566,Hougang Mall,0.2562667341662295
1.37235645075277,103.894968078036,463,HOUGANG AVENUE 10,530463,463 HOUGANG AVE 10,Hougang,0.2905905087231603,Hougang Mall,0.13191902680672937
1.37063420184209,103.88979902893,832,HOUGANG CENTRAL,530832,832 HOUGANG CTRL,Hougang,0.31580124911977736,Hougang Mall,0.4887808036049539
1.36758838065526,103.898880189886,325,HOUGANG AVENUE 7,530325,325 HOUGANG AVE 7,Hougang,0.8234284616917994,Hougang Rivercourt,0.7548557645934417
